Name,Type,Sex,Breed,Size,Fur length,"Age range (young 0-1 yrs, young adult 1-3 yrs, adult 3-8 yrs, senior 8+ yrs)","Age (years, months)",Okay with kids?,Indoors only?,Okay in apartments/condos?,House trained?,Okay with cats?,Okay with dogs?,Bonded with another animal?,Special needs?,Location,Intro,Link
Katana,Cat,F,Domestic short hair,M,short,senior,11,N/A,N/A,N/A,N/A,Y,N/A,Y,N,Vernon,"Hello, I'm Katana! I love chin scratches and I'm bonded with Shield.",https://adopt.spca.bc.ca/pets/268125/
Shield,Cat,F,Domestic short hair,M,short,senior,11,N/A,N/A,N/A,N/A,Y,N/A,Y,N,Vernon,"Hello, I'm Shield! I love chin scratches and I'm bonded with Katana.",https://adopt.spca.bc.ca/pets/268131/
Nailah,Cat,F,Domestic short hair,S,short,young,3 months,N,N/A,N/A,N/A,Y,N,Y,N,Vancouver,"Hello, I'm Nailah! I love sitting on top of the cat tree! I'm bonded with Jamilia. ",https://www.vokra.ca/adopt-a-cat?cat=47458710
Jamilia,Cat,F,Domestic short hair,S,short,young,3 months,N,N/A,N/A,N/A,Y,N,Y,N,Vancouver,"Hello, I'm Jamilia! I love to chase after balls and laser pointers! I'm bonded with Nailah. ",https://www.vokra.ca/adopt-a-cat?cat=47458715
Creampuff,Cat,F,Domestic short hair,M,short,adult,6,N,N/A,N/A,N/A,N,N/A,N,N,Vancouver,"Hello, I'm Creampuff! Fun fact - I have 6 toes on each paw!",https://www.vokra.ca/adopt-a-cat?cat=42238140
Tony,Bird,M,Budgie,S,N/A,young,8 months,N/A,Y,Y,N/A,N/A,N/A,Y,N,Victoria,"Hello, I'm Tony! I love singing and flying around in my enclosure! I'm bonded with Mark. ",https://adopt.spca.bc.ca/pets/270253/
Mark,Bird,M,Budgie,S,N/A,young,8 months,N/A,Y,Y,N/A,N/A,N/A,Y,N,Victoria,"Hello, I'm Mark! I love singing and flying around in my enclosure! I'm bonded with Tony. ",https://adopt.spca.bc.ca/pets/270242/
Huffles,Small animal,M,Guinea pig,S,long,young,1,Y,Y,N/A,Y,N/A,N/A,N,N,Burnaby,"Hello, I'm Huffles! I love snuggles and toys!",https://adopt.spca.bc.ca/pets/273416/
Venom,Small animal,F,Guinea pig,S,long,senior ,5,N/A,Y,N/A,N/A,N/A,N/A,N,N,Vancouver,"Hello, I'm Venom! I love to roam and explore, and I'm okay with having other female guinea pigs around. ",https://adopt.spca.bc.ca/pets/258897/
Sue Ann Nivens,Small animal,F,Rat,S,short,young,3 months,N/A,Y,N/A,N/A,N/A,N/A,Y,N,Surrey,"Hello, I'm Sue Ann Nivens! I love eating tasty treats and I am bonded with Rose.",https://adopt.spca.bc.ca/pets/271803/
Daisy Mae,Small animal,F,Rabbit,S,medium,adult,2,N/A,Y,N/A,N/A,N/A,N/A,N,N,Burnaby,"Hello, I'm Daisy Mae! I love slow head and chin scratches.",https://adopt.spca.bc.ca/pets/254270/
